# Images where the expected font was not in the model's list (claude-fable-5-1, run 8ea83dfe)
# file|expected|what the model answered first
img_002.jpg|ABeeZee|Abel
img_003.jpg|Abel|Barlow
img_004.jpg|Abramo|Hello Honey
img_006.jpg|Acme|Tuffy
img_007.jpg|Acumin|Arial
img_008.jpg|Adelia|Gochi Hand
img_009.jpg|Advent|Abrupt
img_010.jpg|Agatho|Clarendon
img_011.jpg|Agora|Cooper Black
img_012.jpg|Akira Expanded|Monument Extended
img_015.jpg|Albra|Playfair Display
img_017.jpg|Alegreya Sans|Aller
img_019.jpg|Alice|Palatino
img_020.jpg|Almarai|Arial
img_021.jpg|Amarillo|Lobster
img_022.jpg|Amasis|Charter Bold Italic
img_024.jpg|American Captain|Anton
img_025.jpg|Amiri|Gentium
img_027.jpg|Ananda|Great Vibes
img_028.jpg|Ancient|Old English Text MT
img_029.jpg|Ano|Century Gothic
img_030.jpg|Another Danger|28 Days Later
img_032.jpg|Archer|Rockwell Extra Bold
img_034.jpg|Archivo|Arial
img_035.jpg|Archivo Black|Open Sans Extrabold
img_038.jpg|Arsenal|Rotis Sans Serif
img_040.jpg|Asap|Ubuntu
img_042.jpg|Assistant|Segoe UI
img_043.jpg|Astralaga|Bodoni Moda
img_044.jpg|Atomic Marker|Nervous Rex
img_045.jpg|Aurora|Bubble Bobble
img_046.jpg|Austral Slab|Rockwell
img_047.jpg|Authenia|Abrupt
img_051.jpg|Azonix|Orbitron
img_052.jpg|Baby Doll|Abrupt
img_054.jpg|Bailenson|Chopin Script
img_055.jpg|Balerga|Wremena
img_056.jpg|Bandito Script|Abrupt
img_057.jpg|Barlington|Fenwick
img_061.jpg|Batman Forever|Abrupt
img_062.jpg|Beautiful Barbies|Sacramento
img_063.jpg|Beautiful Christmas|Great Vibes
img_067.jpg|Berthold Corporate E|Zilla Slab Light
img_068.jpg|Better Time|Britany Signature
img_069.jpg|Better Times|Brusher
img_070.jpg|Be Vietnam|Graphik
img_071.jpg|Beyonders|Ethnocentric
img_072.jpg|Biennale|Montserrat Thin
img_074.jpg|Billion Dreams|Lobster
img_075.jpg|Billy Ohio|Abrupt
img_076.jpg|Biospace|Bodoni Moda
img_077.jpg|Birds of Paradise|Snell Roundhand
img_078.jpg|Biro Script Plus|Abrupt
img_079.jpg|Bisney|Adelia
img_081.jpg|Blacker|Playfair Display
img_082.jpg|Black Hulk|Frankfurter
img_084.jpg|Blackout Sunrise|Wienerhand Outline
img_085.jpg|Blacksword|Alex Brush
img_086.jpg|Blastimo Sans|Anagram
img_087.jpg|BlincType Letterpress Fontpak|Haettenschweiler
img_088.jpg|Blosta|Burgues Script
img_089.jpg|Bluesky|Fredoka One
img_091.jpg|Bodoni Egyptian|Rockwell
img_093.jpg|Bogart|Zilla Slab Light
img_094.jpg|Bon Vivant Family|Ogg
img_096.jpg|Boton|Zilla Slab Light
img_098.jpg|Break|Abrupt
img_099.jpg|Breathing|Brittany Signature
img_100.jpg|Bree Serif|Droid Serif
img_102.jpg|Bronzion Deco|Blackwood Castle
img_105.jpg|Built Titling|Anton
img_106.jpg|Bungee|Lemon Milk
img_107.jpg|Butterscotch|Brittany Signature
img_108.jpg|Cabin|Segoe UI
img_110.jpg|Cakeroll|Bangers
img_111.jpg|Calligraphy|Great Vibes
img_113.jpg|Campton|Brandon Grotesque
img_114.jpg|Candy|Brittany Signature
img_116.jpg|Cantarell|Corbel
img_118.jpg|Carter|Fago
img_119.jpg|Catamaran|Gill Sans
img_121.jpg|Caviar Dreams|Futura Light
img_123.jpg|Chakra Petch|Aldrich
img_124.jpg|Chaloops|Abrupt
img_125.jpg|Changa|Abrupt
img_126.jpg|Chaparral|Merriweather
img_127.jpg|Chatime|Playfair Display
img_128.jpg|Cheri|Chewy
img_129.jpg|Cherolina|Adelia
img_130.jpg|Chicken Pie|Chewy
img_131.jpg|Chiffon|Cormorant Garamond
img_132.jpg|Chivo|Rubik
img_133.jpg|Chomixi|Alpha Charlie
img_134.jpg|Christmas|Abrupt
img_135.jpg|Christmas and Santona|Milkshake
img_137.jpg|Christmas Bell|Abrupt
img_138.jpg|Christmas Carol|Kunstler Script
img_139.jpg|Christmas Sparkle|Angilla Tattoo
img_140.jpg|Christmas Squad|Lobster
img_142.jpg|Christmas Wish Calligraphy|Lobster
img_143.jpg|Christmas Wish Monoline|Adorn Serif
img_145.jpg|Chronicle Text|Century Schoolbook
img_148.jpg|Classy Vogue|Bodoni Moda
img_152.jpg|Commissioner|Fira Sans
img_153.jpg|Concert|Barlow Semi Condensed
