# Images where the expected font was not in the model's list (gemini-3.8-flash, run c3c0a5e4)
# file|expected|what the model answered first
img_002.jpg|ABeeZee|Helvetica Neue
img_003.jpg|Abel|Roboto Condensed
img_004.jpg|Abramo|Northwell
img_006.jpg|Acme|Abrupt
img_008.jpg|Adelia|Chewy
img_009.jpg|Advent|FF Dax
img_010.jpg|Agatho|Century Schoolbook
img_011.jpg|Agora|Clarendon
img_013.jpg|Akzidenz-Grotesk|Arial
img_014.jpg|Albertus Nova|Times New Roman
img_015.jpg|Albra|ITC Galliard
img_016.jpg|Alegreya|Computer Modern
img_017.jpg|Alegreya Sans|Arial
img_018.jpg|Alfa Slab|Aachen
img_019.jpg|Alice|ITC Galliard
img_020.jpg|Almarai|Arial
img_022.jpg|Amasis|Times New Roman
img_024.jpg|American Captain|Abrupt
img_025.jpg|Amiri|Perpetua
img_027.jpg|Ananda|Kuenstler Script
img_028.jpg|Ancient|Cloister Black
img_029.jpg|Ano|Abrupt
img_032.jpg|Archer|ChunkFive
img_033.jpg|Architects Daughter|Balsamiq Sans
img_034.jpg|Archivo|Arial
img_035.jpg|Archivo Black|Arial Black
img_036.jpg|Archivo Narrow|Arial Narrow
img_038.jpg|Arsenal|Avenir
img_039.jpg|Arvo|Bitstream Charter
img_040.jpg|Asap|Abrupt
img_041.jpg|Asap Condensed|FF DIN Round
img_042.jpg|Assistant|Roboto
img_043.jpg|Astralaga|Computer Modern
img_044.jpg|Atomic Marker|Road Rage
img_045.jpg|Aurora|PicNic
img_046.jpg|Austral Slab|Clarendon
img_047.jpg|Authenia|Avallon
img_052.jpg|Baby Doll|Finger Paint
img_054.jpg|Bailenson|Palace Script MT
img_055.jpg|Balerga|Lust
img_056.jpg|Bandito Script|Krinkes
img_057.jpg|Barlington|Wisdom Script
img_058.jpg|Barlow|Arial
img_059.jpg|Barlow Condensed|DIN 1451 Engschrift
img_061.jpg|Batman Forever|Abrupt
img_062.jpg|Beautiful Barbies|Amarillo
img_063.jpg|Beautiful Christmas|Great Vibes
img_066.jpg|Bembo MT|Computer Modern
img_067.jpg|Berthold Corporate E|Stymie
img_070.jpg|Be Vietnam|Arial
img_071.jpg|Beyonders|Azonix
img_072.jpg|Biennale|Avenir Next
img_074.jpg|Billion Dreams|Kaushan Script
img_075.jpg|Billy Ohio|Wild Youth
img_076.jpg|Biospace|Abrupt
img_077.jpg|Birds of Paradise|Kunstler Script
img_078.jpg|Biro Script Plus|Abrupt
img_079.jpg|Bisney|Madina Script
img_080.jpg|Bitter|Times New Roman
img_081.jpg|Blacker|Portrait
img_082.jpg|Black Hulk|Abrupt
img_084.jpg|Blackout Sunrise|Compacta
img_085.jpg|Blacksword|Abrupt
img_086.jpg|Blastimo Sans|Arial
img_087.jpg|BlincType Letterpress Fontpak|Clarendon Bold Condensed
img_088.jpg|Blosta|Burgues Script
img_089.jpg|Bluesky|Gochi Hand
img_091.jpg|Bodoni Egyptian|Prestige Elite
img_093.jpg|Bogart|Rockwell
img_094.jpg|Bon Vivant Family|Ogg
img_095.jpg|Bookman Old Style|Century Schoolbook
img_096.jpg|Boton|Stymie
img_097.jpg|Brandon Grotesque|Helvetica Neue
img_098.jpg|Break|Futura
img_099.jpg|Breathing|Northwell
img_100.jpg|Bree Serif|Swift
img_102.jpg|Bronzion Deco|Cloister Black
img_105.jpg|Built Titling|Haettenschweiler
img_106.jpg|Bungee|Helvetica Rounded
img_107.jpg|Butterscotch|Amsterdam
img_108.jpg|Cabin|Arial
img_109.jpg|Cairo|FF DIN
img_110.jpg|Cakeroll|Stay Puft
img_111.jpg|Calligraphy|English 157
img_112.jpg|Campione Neue|Octin College
img_114.jpg|Candy|Brittany Signature
img_116.jpg|Cantarell|Arial
img_117.jpg|Cardo|Times New Roman
img_118.jpg|Carter|Abrupt
img_119.jpg|Catamaran|Arial
img_120.jpg|Caveat|Ink Free
img_124.jpg|Chaloops|Covered by Your Grace
img_125.jpg|Changa|Ubuntu
img_126.jpg|Chaparral|Computer Modern
img_127.jpg|Chatime|Playfair Display
img_128.jpg|Cheri|Chewy
img_129.jpg|Cherolina|Brittany Signature
img_130.jpg|Chicken Pie|Balsamiq Sans
img_131.jpg|Chiffon|Cormorant Garamond
img_132.jpg|Chivo|Helvetica
img_133.jpg|Chomixi|Abrupt
img_134.jpg|Christmas|October Twilight
img_135.jpg|Christmas and Santona|Carolyna Pro
img_137.jpg|Christmas Bell|Glossy Script
img_138.jpg|Christmas Carol|Bickham Script Pro
img_139.jpg|Christmas Sparkle|Angilla Tattoo
img_140.jpg|Christmas Squad|Glossy Balloon
img_142.jpg|Christmas Wish Calligraphy|ITC Edwardian Script
img_143.jpg|Christmas Wish Monoline|Ruthie
img_144.jpg|Chronicle Display|Onyx
img_145.jpg|Chronicle Text|Times New Roman
img_146.jpg|Cinzel|Adobe Garamond Pro
img_147.jpg|Clarendon|Times New Roman
img_148.jpg|Classy Vogue|Didot
img_149.jpg|Cloister Black|Fette Fraktur
img_150.jpg|Cocogoose|Arial
img_152.jpg|Commissioner|Arial
