# Images where the expected font was not in the model's list (gpt-6-astra, run aa9ad5cc)
# file|expected|what the model answered first
img_002.jpg|ABeeZee|Lato
img_004.jpg|Abramo|Brittany Signature
img_007.jpg|Acumin|Helvetica Neue
img_008.jpg|Adelia|Grobold
img_009.jpg|Advent|Abel
img_010.jpg|Agatho|Times New Roman
img_011.jpg|Agora|Changa One
img_013.jpg|Akzidenz-Grotesk|Montserrat
img_015.jpg|Albra|Abril Fatface
img_016.jpg|Alegreya|Adobe Garamond Pro
img_017.jpg|Alegreya Sans|FF Meta
img_019.jpg|Alice|Georgia
img_020.jpg|Almarai|Arial
img_021.jpg|Amarillo|Alex Brush
img_022.jpg|Amasis|Times New Roman
img_024.jpg|American Captain|Koulen
img_025.jpg|Amiri|Baskerville
img_027.jpg|Ananda|Arizonia
img_028.jpg|Ancient|Old English Text MT
img_029.jpg|Ano|ITC Ronda
img_032.jpg|Archer|Rockwell Extra Bold
img_034.jpg|Archivo|Arial
img_035.jpg|Archivo Black|Arial Black
img_036.jpg|Archivo Narrow|Arial Narrow
img_038.jpg|Arsenal|Calibri
img_039.jpg|Arvo|Georgia
img_042.jpg|Assistant|Source Sans Pro
img_043.jpg|Astralaga|Italiana
img_044.jpg|Atomic Marker|Road Rage
img_045.jpg|Aurora|Pilowlava
img_046.jpg|Austral Slab|Arvo
img_047.jpg|Authenia|Wild Youth
img_052.jpg|Baby Doll|Fuzzy Bubbles
img_054.jpg|Bailenson|Edwardian Script ITC
img_055.jpg|Balerga|Instrument Serif
img_056.jpg|Bandito Script|Aguafina Script
img_057.jpg|Barlington|Rochester
img_058.jpg|Barlow|Roboto
img_062.jpg|Beautiful Barbies|Amarillo
img_063.jpg|Beautiful Christmas|Alex Brush
img_066.jpg|Bembo MT|Times New Roman
img_067.jpg|Berthold Corporate E|TeX Gyre Schola
img_068.jpg|Better Time|Moontime
img_069.jpg|Better Times|Playlist Script
img_070.jpg|Be Vietnam|DejaVu Sans
img_071.jpg|Beyonders|Azonix
img_072.jpg|Biennale|Helvetica Neue
img_074.jpg|Billion Dreams|Brusher
img_075.jpg|Billy Ohio|Brusher
img_076.jpg|Biospace|Canela
img_077.jpg|Birds of Paradise|Script MT Bold
img_078.jpg|Biro Script Plus|Kristi
img_079.jpg|Bisney|Amarillo
img_080.jpg|Bitter|Georgia
img_081.jpg|Blacker|Noe Display
img_082.jpg|Black Hulk|Super Shiny
img_085.jpg|Blacksword|Arizonia
img_086.jpg|Blastimo Sans|Six Caps
img_087.jpg|BlincType Letterpress Fontpak|Bernard MT Condensed
img_088.jpg|Blosta|Burgues Script
img_089.jpg|Bluesky|Kalam
img_091.jpg|Bodoni Egyptian|Times New Roman
img_093.jpg|Bogart|Nixie One
img_094.jpg|Bon Vivant Family|Cormorant Garamond
img_096.jpg|Boton|Roboto Slab
img_098.jpg|Break|Futura
img_099.jpg|Breathing|Southam
img_100.jpg|Bree Serif|Georgia
img_102.jpg|Bronzion Deco|Old English Text MT
img_104.jpg|BubbleGum|Modak
img_105.jpg|Built Titling|Anton
img_107.jpg|Butterscotch|Bromello
img_108.jpg|Cabin|Arial
img_109.jpg|Cairo|Roboto
img_110.jpg|Cakeroll|Grobold
img_111.jpg|Calligraphy|Vivaldi
img_112.jpg|Campione Neue|Geo
img_113.jpg|Campton|Avenir Next
img_114.jpg|Candy|Brittany Signature
img_116.jpg|Cantarell|DejaVu Sans
img_117.jpg|Cardo|Garamond
img_119.jpg|Catamaran|Trebuchet MS
img_121.jpg|Caviar Dreams|Poiret One
img_124.jpg|Chaloops|Schoolbell
img_125.jpg|Changa|Ubuntu
img_126.jpg|Chaparral|Charter
img_127.jpg|Chatime|DM Serif Display
img_129.jpg|Cherolina|Brittany Signature
img_130.jpg|Chicken Pie|Chewy
img_131.jpg|Chiffon|Cormorant Garamond
img_132.jpg|Chivo|DejaVu Sans
img_133.jpg|Chomixi|Bertram LET
img_134.jpg|Christmas|Amarillo
img_135.jpg|Christmas and Santona|Cookie
img_136.jpg|Christmas Balloon|Jelly Crazies
img_137.jpg|Christmas Bell|Bromello
img_138.jpg|Christmas Carol|Aguafina Script
img_139.jpg|Christmas Sparkle|Magneto
img_140.jpg|Christmas Squad|Brusher
img_141.jpg|Christmas Tree Lights|Rubik Vinyl
img_142.jpg|Christmas Wish Calligraphy|Great Vibes
img_143.jpg|Christmas Wish Monoline|Mrs Saint Delafield
img_144.jpg|Chronicle Display|Bodoni MT Condensed
img_145.jpg|Chronicle Text|Georgia
img_147.jpg|Clarendon|Georgia
img_148.jpg|Classy Vogue|Bodoni 72
img_152.jpg|Commissioner|Myriad Pro
img_154.jpg|Conte Script Plus|Viner Hand ITC
img_156.jpg|Coolvetica|Manrope
img_161.jpg|Couture|Gotham
img_162.jpg|Cream Cake|Lobster
img_163.jpg|Crete Round|Georgia
img_164.jpg|Crima|Migra
img_165.jpg|Crimson|Georgia
img_167.jpg|Cuprum|Roboto Condensed
img_168.jpg|Daily Note|Chewy
img_170.jpg|Danger Agenda|Chinese Rocks
img_171.jpg|Darwin Smith|Bromello
img_172.jpg|Daykids|MV Boli
img_173.jpg|Debora Celina Script|Brittany Signature
img_174.jpg|Designer|Sui Generis
img_175.jpg|Desirable Calligraphy|Shelley Volante Script
img_176.jpg|Des Montilles|Caveat
img_177.jpg|Didact Gothic|Century Gothic
img_178.jpg|DIN Next|Calibri
img_179.jpg|DIN Next Slab|Roboto Slab
img_180.jpg|DM Sans|DejaVu Sans
img_182.jpg|Docallisme On Street|SF Slapstick Comic
img_184.jpg|Domine|Georgia
img_186.jpg|Dream Girl|Brittany Signature
img_187.jpg|Dreaming Outloud|Dancing Script
img_188.jpg|DT Augustina Slab|Georgia
img_190.jpg|Editors Note|Times New Roman
img_192.jpg|El Messiri|Times New Roman
img_193.jpg|Emperatriz|Flamenco
img_194.jpg|Emy Slab|Nixie One
img_195.jpg|Encode Sans|Arial
img_196.jpg|Eurostile|Helvetica Neue
img_197.jpg|Exo|Lato
img_198.jpg|Eyesome|Brittany Signature
img_199.jpg|Fanlste|Instrument Serif
img_200.jpg|Feeling Passionate|Gloss And Bloom
img_202.jpg|FF Elementa|Cutive Mono
img_203.jpg|FF Ernestine|Georgia
img_204.jpg|FF Eureka|Georgia
img_205.jpg|FF Fago|Trebuchet MS
img_206.jpg|FF Franziska|Josefin Slab
img_207.jpg|FF Hertz|Times New Roman
img_208.jpg|f Finish|Anton
img_209.jpg|FF Kievit|Segoe UI
img_210.jpg|FF Market|Kaushan Script
img_212.jpg|FF Meta Serif|Times New Roman
img_213.jpg|FF Providence Sans|Schoolbell
img_214.jpg|FF Tisa|Georgia
img_215.jpg|Figtree|Arial
img_216.jpg|Fineday|Yellowtail
img_217.jpg|Fiolex Girls|Monotype Corsiva
img_218.jpg|Fira Sans|Trebuchet MS
img_220.jpg|Food Truck|Gochi Hand
img_221.jpg|Foundry Form Serif|Georgia
img_223.jpg|Franklin Gothic|Tahoma
img_225.jpg|Freeland|Playlist Script
img_226.jpg|Freight Text|Georgia
img_228.jpg|Friz Quadrata|DM Serif Display
img_229.jpg|Frutiger|Verdana
img_230.jpg|FS Kim|Noe Display
img_231.jpg|FS Me|Calibri
img_232.jpg|FS Ostro|Times New Roman
img_233.jpg|FS Rufus|DejaVu Serif
img_237.jpg|Gagisra Rigade|Didot
img_238.jpg|Galano Grotesque|Montserrat
img_240.jpg|Garnet|Mr De Haviland
img_241.jpg|Gazpacho|Playfair Display
img_242.jpg|Gelica|Kavoon
img_243.jpg|Genty|Lobster
